text,summary
Die Erderwärmung führt zu einem Anstieg des Meeresspiegels.,Meeresspiegel steigt durch Erderwärmung.
Menschen verursachen den Klimawandel vor allem durch CO2-Ausstoß.,CO2-Ausstoß treibt Klimawandel an.
Plastikmüll verschmutzt die Ozeane und bedroht Meerestiere.,Plastik gefährdet Meeresleben.
Erneuerbare Energien helfen beim Klimaschutz.,Klimaschutz durch erneuerbare Energien.
Die Abholzung des Regenwaldes zerstört wichtige Ökosysteme.,Regenwald-Abholzung schadet Umwelt.
Elektroautos stoßen kein CO2 aus beim Fahren.,E-Autos fahren emissionsfrei.
Wind- und Solarenergie werden immer wichtiger.,Wind und Sonne gewinnen an Bedeutung.
Dürren nehmen durch den Klimawandel zu.,Klimawandel verschärft Dürreperioden.
Wissenschaftler warnen vor Kipppunkten im Klimasystem.,Kipppunkte gefährden Klima-Stabilität.
Grüner Wasserstoff gilt als Hoffnungsträger der Energiewende.,Wasserstoff ist Schlüssel zur Energiewende.
Die Erderwärmung führt zu einem Anstieg des Meeresspiegels.,Meeresspiegel steigt durch Erderwärmung.
Menschen verursachen den Klimawandel vor allem durch CO2-Ausstoß.,CO2-Ausstoß treibt Klimawandel an.
Plastikmüll verschmutzt die Ozeane und bedroht Meerestiere.,Plastik gefährdet Meeresleben.
Erneuerbare Energien helfen beim Klimaschutz.,Klimaschutz durch erneuerbare Energien.
Die Abholzung des Regenwaldes zerstört wichtige Ökosysteme.,Regenwald-Abholzung schadet Umwelt.
Elektroautos stoßen kein CO2 aus beim Fahren.,E-Autos fahren emissionsfrei.
Wind- und Solarenergie werden immer wichtiger.,Wind und Sonne gewinnen an Bedeutung.
Dürren nehmen durch den Klimawandel zu.,Klimawandel verschärft Dürreperioden.
Wissenschaftler warnen vor Kipppunkten im Klimasystem.,Kipppunkte gefährden Klima-Stabilität.
Grüner Wasserstoff gilt als Hoffnungsträger der Energiewende.,Wasserstoff ist Schlüssel zur Energiewende.
Die Erderwärmung führt zu einem Anstieg des Meeresspiegels.,Meeresspiegel steigt durch Erderwärmung.
Menschen verursachen den Klimawandel vor allem durch CO2-Ausstoß.,CO2-Ausstoß treibt Klimawandel an.
Plastikmüll verschmutzt die Ozeane und bedroht Meerestiere.,Plastik gefährdet Meeresleben.
Erneuerbare Energien helfen beim Klimaschutz.,Klimaschutz durch erneuerbare Energien.
Die Abholzung des Regenwaldes zerstört wichtige Ökosysteme.,Regenwald-Abholzung schadet Umwelt.
Elektroautos stoßen kein CO2 aus beim Fahren.,E-Autos fahren emissionsfrei.
Wind- und Solarenergie werden immer wichtiger.,Wind und Sonne gewinnen an Bedeutung.
Dürren nehmen durch den Klimawandel zu.,Klimawandel verschärft Dürreperioden.
Wissenschaftler warnen vor Kipppunkten im Klimasystem.,Kipppunkte gefährden Klima-Stabilität.
Grüner Wasserstoff gilt als Hoffnungsträger der Energiewende.,Wasserstoff ist Schlüssel zur Energiewende.
Die Erderwärmung führt zu einem Anstieg des Meeresspiegels.,Meeresspiegel steigt durch Erderwärmung.
Menschen verursachen den Klimawandel vor allem durch CO2-Ausstoß.,CO2-Ausstoß treibt Klimawandel an.
Plastikmüll verschmutzt die Ozeane und bedroht Meerestiere.,Plastik gefährdet Meeresleben.
Erneuerbare Energien helfen beim Klimaschutz.,Klimaschutz durch erneuerbare Energien.
Die Abholzung des Regenwaldes zerstört wichtige Ökosysteme.,Regenwald-Abholzung schadet Umwelt.
Elektroautos stoßen kein CO2 aus beim Fahren.,E-Autos fahren emissionsfrei.
Wind- und Solarenergie werden immer wichtiger.,Wind und Sonne gewinnen an Bedeutung.
Dürren nehmen durch den Klimawandel zu.,Klimawandel verschärft Dürreperioden.
Wissenschaftler warnen vor Kipppunkten im Klimasystem.,Kipppunkte gefährden Klima-Stabilität.
Grüner Wasserstoff gilt als Hoffnungsträger der Energiewende.,Wasserstoff ist Schlüssel zur Energiewende.
Die Erderwärmung führt zu einem Anstieg des Meeresspiegels.,Meeresspiegel steigt durch Erderwärmung.
Menschen verursachen den Klimawandel vor allem durch CO2-Ausstoß.,CO2-Ausstoß treibt Klimawandel an.
Plastikmüll verschmutzt die Ozeane und bedroht Meerestiere.,Plastik gefährdet Meeresleben.
Erneuerbare Energien helfen beim Klimaschutz.,Klimaschutz durch erneuerbare Energien.
Die Abholzung des Regenwaldes zerstört wichtige Ökosysteme.,Regenwald-Abholzung schadet Umwelt.
Elektroautos stoßen kein CO2 aus beim Fahren.,E-Autos fahren emissionsfrei.
Wind- und Solarenergie werden immer wichtiger.,Wind und Sonne gewinnen an Bedeutung.
Dürren nehmen durch den Klimawandel zu.,Klimawandel verschärft Dürreperioden.
Wissenschaftler warnen vor Kipppunkten im Klimasystem.,Kipppunkte gefährden Klima-Stabilität.
Grüner Wasserstoff gilt als Hoffnungsträger der Energiewende.,Wasserstoff ist Schlüssel zur Energiewende.
